Epoch,Training Set Accuracy, Generalization Set Accuracy,Training Set MSE, Generalization Set MSE
142,65.125,65.95,0.077455,0.0806624
143,65.2333,67.1,0.0775936,0.0798831
144,65.1583,66.075,0.0778559,0.0812983
145,65.35,68.425,0.0771877,0.0807874
146,65.1333,66.225,0.0769922,0.0821025
147,65.275,66.425,0.0766968,0.0813077
148,65.6417,66.85,0.0772988,0.0807414
149,66.4167,66.75,0.0775177,0.0814531
150,66.1083,68.175,0.0767821,0.0815759
151,65.5,66.8,0.0770711,0.0811263
152,65.7417,68.225,0.0768108,0.0796285
153,64.9417,66.7,0.0771817,0.0807019
154,65.4167,65.4,0.0774857,0.0837073
155,65.3083,65.925,0.0771169,0.0811854
156,65.7083,66.425,0.0768292,0.0811302
157,65.8333,65.5,0.0775637,0.0834505
158,66.5167,69.325,0.0775761,0.0823951
159,66.0583,68.55,0.0769666,0.0800587
160,65.875,68.825,0.0771904,0.0802932
161,65.55,68.325,0.0768462,0.0799736
162,65.7167,67.325,0.0772849,0.0796989
163,66.9083,70.65,0.0779724,0.0805102
164,65.375,65.025,0.0771133,0.0824445
165,65.65,66.15,0.0763819,0.0804363
166,64.9833,66.275,0.0768553,0.0806875
167,65.2083,65.85,0.0767335,0.0801262
168,65.8083,66.375,0.0771898,0.0807477
169,66.4,64.55,0.0768993,0.0836308
170,65.8083,67.375,0.076711,0.0795841
171,65.8583,69.15,0.0768675,0.0823367
172,65.8083,66.175,0.0781363,0.0806533
173,66.525,67.3,0.0770936,0.0789468
174,66.2917,68.025,0.0774372,0.0795794
175,64.7333,65.475,0.0770218,0.0832667
176,64.6083,65.55,0.0773772,0.081832
177,64.4417,66.1,0.0768384,0.0804133
178,64.65,67.475,0.0773576,0.0800686
179,64.925,63.625,0.078429,0.0854881
180,64.2,65.475,0.0772564,0.0795726
181,64.2083,67.175,0.0772164,0.0806669
182,64.0833,65.825,0.0778225,0.080775
183,63.7917,66.575,0.077571,0.0807724
184,62.9167,65.3,0.076301,0.0804787
185,63.4667,67.075,0.0768514,0.0810732
186,62.6917,64.6,0.0780605,0.0804654
187,64.2917,67.675,0.0766573,0.0795371
188,64.3833,64.9,0.0767419,0.0811319
189,63.7333,64.75,0.0770867,0.0797885
190,64.0667,65.725,0.0776129,0.080379
191,64.2667,66.15,0.0766736,0.0806935
192,63.3083,64,0.0772639,0.0812943
193,62.6083,65.675,0.0779065,0.0807531
194,63.6583,68.125,0.0769382,0.0839428
195,64.4417,67.4,0.0762065,0.0835766
196,65.3583,68.5,0.0761836,0.0807669
197,65.8667,67.625,0.0767741,0.080703
198,64.575,65.925,0.0765702,0.0809048
199,65.525,64.95,0.0779933,0.0808761
200,64.8417,66.975,0.0763642,0.0805585
201,64.5917,65.375,0.0770722,0.0800207
202,64.725,66.075,0.0772752,0.0796335
203,63.8,66,0.0771401,0.0793665
204,64.6167,66.825,0.0765453,0.0789142
205,64.2083,65.7,0.0786727,0.0786603
206,64.625,65.925,0.0765925,0.0796883
207,63.6417,66.325,0.0776609,0.081028
208,65.075,66.575,0.0753177,0.0792455
209,65.8667,66.8,0.0768386,0.0803741
210,66.1833,66.325,0.0766977,0.081826
211,65.7333,67.225,0.0771112,0.0786372
212,65.1333,67.3,0.0774205,0.0802171
213,65.1083,67.475,0.0765017,0.0793808
214,64.4833,67.25,0.0771102,0.0795527
215,64.8333,67.1,0.0764555,0.079931
216,64.425,67.7,0.0765467,0.0806263
217,64.9167,67.325,0.076757,0.0797088
218,64.1167,65.9,0.0769759,0.0794808
219,63.675,66.65,0.0763612,0.080873
220,65.225,66.3,0.0766689,0.0801174
221,62.5333,64.55,0.0766605,0.0801065
222,65.1417,66.8,0.0769566,0.0791341
223,65.3083,64.7,0.0762573,0.0805251
224,66.1667,66.5,0.0771765,0.0789224
225,64.5333,66.3,0.0760892,0.0802689
226,66.0667,64.925,0.0762584,0.0799946
227,66.075,66.875,0.0762021,0.0801882
228,66.4917,65.075,0.0772387,0.0808234
229,66.6417,65.575,0.0758908,0.0814592
230,66.775,67.225,0.0768464,0.0807857
231,67.5167,66.95,0.0763173,0.0810554
232,67.4083,66.4,0.0766224,0.081737
233,66.6,66.225,0.0765191,0.0838501
234,67.3,67.025,0.0767945,0.0815045
235,66.1417,67.1,0.0764822,0.0836387
236,67.1667,65.8,0.0765307,0.0811837
237,67.5667,66.375,0.0762609,0.0807402
238,66.8333,67.025,0.0768128,0.0825548
239,67.1667,66.525,0.0770044,0.0820113
240,65.675,65.675,0.0766426,0.0813359
241,65.925,65.425,0.0760622,0.081285
242,67.6417,65.275,0.0770504,0.0814866
243,65.6167,67.025,0.0768733,0.0821911
244,66.2417,67.025,0.0769674,0.0810755
245,67.2667,66.4,0.0766016,0.0802513
246,65.5667,66.25,0.0775888,0.0796397
247,65.55,67.05,0.0764087,0.0813599
248,65.55,65.175,0.0779711,0.0804262
249,65.6167,66.725,0.0776523,0.0807124
250,65.425,66.725,0.0770961,0.080602
251,64.0417,67.05,0.077008,0.0807827
252,64.175,66.775,0.0773634,0.080316
253,64.825,66.675,0.0769543,0.0806888
254,64.1083,66.8,0.0770261,0.0810694
255,64.475,66.775,0.0760031,0.0815957
256,64.0417,66.2,0.0773571,0.0809138
257,64.15,66.875,0.0761092,0.0816599
258,65.8417,66.15,0.0761548,0.0816738
259,65.5,64.125,0.076301,0.0838
260,65.525,66.3,0.0772219,0.0847432
261,65.3417,65.975,0.0760825,0.083864
262,66.2167,66.075,0.0767825,0.0802816
263,66.6667,66.475,0.0763023,0.0811169
264,65.3083,66,0.0764261,0.0829397
265,66.3417,65.4,0.076318,0.0812315
266,66.5583,65.2,0.0767245,0.0821351
267,65.4667,65.375,0.0764797,0.0822409
268,66.2333,67.05,0.0764211,0.0825131
269,66.85,65.525,0.0769392,0.0829197
270,66.0417,65.025,0.0766303,0.0814916
271,65.25,66.225,0.0765907,0.081499
272,66.15,66.225,0.0759682,0.0818179
273,67.0333,66.575,0.0771922,0.0826402
274,66.1417,66.35,0.0763861,0.0818438
275,66.4167,66.45,0.0772171,0.0830116
276,65.7917,68.3,0.0769508,0.0828197
277,67.6417,67.75,0.077724,0.0831546
278,67.55,68.55,0.0768512,0.0844648
279,67.8417,66.25,0.0770333,0.0824811
280,67.95,66.275,0.07724,0.0828099
281,66.225,66.525,0.076626,0.0825337
282,67.6167,65.375,0.0763517,0.0826116
283,66.7,65.9,0.077283,0.0826862
284,66.4667,63.625,0.0767954,0.0851631
285,64.8083,65.825,0.078252,0.0813328
286,66.2667,66.25,0.0776979,0.0827854
287,65.3167,66.15,0.0769221,0.0840811
288,65.3167,66.525,0.0772211,0.0833534
289,63.4667,65.325,0.0775459,0.0841038
290,64.775,65.75,0.0771488,0.0830109
291,65.35,63.9,0.0769824,0.0855208
292,65.3833,65.75,0.0774963,0.0832954
293,64.7583,66.45,0.0773698,0.0851973
294,64.0083,63.55,0.0772915,0.0844243
295,64.6333,63.4,0.0762109,0.0851836
296,65.3583,65.6,0.0764966,0.0840911
297,65.2333,64.675,0.0763874,0.0843411
298,65.075,65.625,0.0771155,0.0837516
299,63.8917,65.15,0.076917,0.0831206
300,64.7167,64.75,0.0757136,0.082826
301,65.1417,66.2,0.0771482,0.0837553
302,64.35,64.975,0.0757734,0.0835344
303,63.8167,65.225,0.0767049,0.0834797
304,63.2,65.825,0.076461,0.0834392
305,64.2667,64.25,0.0766114,0.0845104
306,64.4917,66.4,0.0765814,0.0833952
307,65.2667,65.575,0.0761975,0.0827683
308,64.8083,65.6,0.0766936,0.0826869
309,65.4417,65.65,0.0761064,0.0828966
310,64.7417,65.3,0.0764672,0.0833235
311,64.125,64.375,0.0760435,0.0839128
312,65.0583,66,0.0763451,0.0840508
313,65.675,66.45,0.0760756,0.0826498
314,65.475,65.55,0.0753545,0.0832881
315,66.4833,66.05,0.0755731,0.0824652
316,65.5583,66.4,0.0761916,0.0827424
317,65.4667,65,0.0755378,0.0835919
318,65.75,68.125,0.0757862,0.0832928
319,67.4583,65.85,0.0756379,0.0835014
320,66.05,65.6,0.0748521,0.0847422
321,66.0833,65.425,0.0764998,0.0836423
322,66.4333,68.175,0.076318,0.0833459
323,65.9417,65.7,0.076404,0.0835044
324,67.475,68.2,0.0759385,0.0848835
325,67.8333,65.975,0.0762331,0.0843648
326,67.3667,66.9,0.0761755,0.084903
327,66.2917,65.05,0.0762128,0.0843302
328,66.05,66.65,0.0754131,0.0843526
329,66.3667,68.05,0.0756913,0.0837537
330,66.8917,66.1,0.0755974,0.0832651
331,67.05,65.55,0.0760856,0.0808902
332,65.5833,65.425,0.0754086,0.0810068
333,65.9083,65.125,0.0757249,0.0824034
334,65.85,65.3,0.0757354,0.0804849
335,66.7333,66.25,0.075482,0.0839956
336,65.2083,66.1,0.0769096,0.0827781
337,66.7,65.2,0.0763052,0.0837797
338,66.5417,64.85,0.0762449,0.085004
339,65.8167,65.8,0.075643,0.0843198
340,66.95,66.6,0.0751677,0.0843783
341,66.825,66.45,0.0749374,0.0843044
342,66.4917,65.6,0.0751421,0.0844518
343,66.6333,66,0.0758189,0.0836211
344,66.5917,66.175,0.0751855,0.0842405
345,65.3917,67.3,0.0753998,0.0841696
346,65.6333,67.075,0.0755343,0.0846488
347,65.8333,65.825,0.0755568,0.0858454
348,66.475,65.925,0.075737,0.0852947
349,65.7417,68.05,0.0751731,0.0868675
350,65.7083,66.275,0.0751236,0.084544
351,65.325,67.75,0.0764508,0.0838728
352,65.9333,67.475,0.0763911,0.0838971
353,64.9667,67.625,0.0762583,0.0851346
354,64.375,66.325,0.0763189,0.0850554
355,65.1333,67.825,0.0759041,0.0857563
356,64.8,68.65,0.075081,0.0859586
357,65.4167,66.575,0.0756817,0.0832602
358,66.025,66.025,0.0762857,0.0831025
